jurisdiction,source,url,date_checked
EU,"AI Act — Regulatory framework for AI, European Commission",https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,2026-09
EU,"Regulation (EU) 2024/1689 (AI Act), EUR-Lex",https://eur-lex.europa.eu/eli/reg/2024/1689/oj,2026-09
EU,"Digital Omnibus on AI — Regulation (EU) 2026/1744",https://eur-lex.europa.eu,2026-09
United States,"NIST AI Risk Management Framework",https://www.nist.gov/itl/ai-risk-management-framework,2026-09
United States,"Center for AI Standards and Innovation (CAISI)",https://www.nist.gov/caisi,2026-09
United States,"CAISI guidelines and draft practices",https://www.nist.gov/caisi/guidelines,2026-09
India,"India AI Governance Guidelines, MeitY",https://indiaai.gov.in,2026-09
India,"IndiaAI Mission",https://indiaai.gov.in,2026-09
United Kingdom,"AI Security Institute",https://www.aisi.gov.uk,2026-09
Cross-cutting,"International AI Safety Report 2026",https://internationalaisafetyreport.org,2026-09
